start_station,end_station,directions_time_min,start_lat,start_lng,end_lat,end_lng,same_line,interchange_station,metro_distance_km
Ameerpet,Assembly,10,17.435697,78.444603,17.39813,78.470786,True,,5.31
Ameerpet,Dr. B. R. Ambedkar Balanagar,10,17.435697,78.444603,17.477586,78.42099,True,,5.64
Ameerpet,Begumpet,3,17.435697,78.444603,17.437583,78.456945,True,,1.57
Ameerpet,Bharat Nagar,7,17.435697,78.444603,17.464046,78.430048,True,,3.51
Ameerpet,Chaitanyapuri,25,17.435697,78.444603,17.368398,78.535855,True,,13.96
Ameerpet,Chikkadpally,27,17.435697,78.444603,17.400805,78.494876,False,Mahatma Gandhi Bus Station,11.34
Ameerpet,Dilsukhnagar,24,17.435697,78.444603,17.368594,78.525728,True,,12.88
Ameerpet,Durgam Cheruvu,16,17.435697,78.444603,17.442854,78.387646,True,,7.63
Ameerpet,ESI Hospital,4,17.435697,78.444603,17.447377,78.438352,True,,1.46
Ameerpet,Erragadda,5,17.435697,78.444603,17.457235,78.433531,True,,2.67
Ameerpet,Gandhi Bhavan,13,17.435697,78.444603,17.38609,78.473099,True,,6.75
Ameerpet,Gandhi Hospital,31,17.435697,78.444603,17.425639,78.501872,False,JBS Parade Ground,14.24
Ameerpet,HITEC City,17,17.435697,78.444603,17.449025,78.383239,True,,8.46
Ameerpet,Habsiguda,20,17.435697,78.444603,17.420218,78.540538,True,,12.65
Ameerpet,Irrum Manzil,3,17.435697,78.444603,17.42036,78.456186,True,,2.08
Ameerpet,JBS Parade Ground,36,17.435697,78.444603,17.444472,78.497483,False,,16.8
Ameerpet,JNTU College,16,17.435697,78.444603,17.498679,78.389015,True,,9.59
Ameerpet,Jubilee Hills Check Post,9,17.435697,78.444603,17.42834,78.413688,True,,3.9
Ameerpet,KPHB Colony,14,17.435697,78.444603,17.493796,78.401668,True,,8.1
Ameerpet,Khairatabad,6,17.435697,78.444603,17.411614,78.460844,True,,3.21
Ameerpet,Kukatpally,12,17.435697,78.444603,17.485121,78.411553,True,,6.64
Ameerpet,LB Nagar,29,17.435697,78.444603,17.349724,78.547972,True,,16.62
Ameerpet,Lakdi Ka Pul,8,17.435697,78.444603,17.403687,78.464591,True,,4.31
Ameerpet,Madhapur,13,17.435697,78.444603,17.436879,78.400681,True,,5.74
Ameerpet,Madhura Nagar,2,17.435697,78.444603,17.437715,78.44055,True,,0.7
Ameerpet,Mahatma Gandhi Bus Station,31,17.435697,78.444603,17.379856,78.485961,False,,14.81
Ameerpet,Malakpet,18,17.435697,78.444603,17.377292,78.493831,True,,9.27
Ameerpet,Mettuguda,16,17.435697,78.444603,17.435572,78.5196,True,,9.8
Ameerpet,Miyapur,18,17.435697,78.444603,17.4964542,78.3729359,True,,11.34
Ameerpet,Moosapet,8,17.435697,78.444603,17.472162,78.425925,True,,4.51
Ameerpet,Musarambagh,21,17.435697,78.444603,17.371136,78.511946,True,,11.37
Ameerpet,Musheerabad,30,17.435697,78.444603,17.418808,78.499823,False,JBS Parade Ground,13.35
Ameerpet,Ngri,22,17.435697,78.444603,17.414859,78.546309,True,,13.8
Ameerpet,Nagole,27,17.435697,78.444603,17.39051,78.558659,True,,17.09
Ameerpet,Nampally,11,17.435697,78.444603,17.392352,78.470132,True,,5.97
Ameerpet,Narayanguda,25,17.435697,78.444603,17.394383,78.489863,False,Mahatma Gandhi Bus Station,10.41
Ameerpet,New Market,20,17.435697,78.444603,17.373486,78.502903,True,,10.38
Ameerpet,Osmania Medical College,14,17.435697,78.444603,17.382358,78.481073,True,,7.74
Ameerpet,Paradise,9,17.435697,78.444603,17.443496,78.486186,True,,5.17
Ameerpet,Peddamma Gudi,11,17.435697,78.444603,17.4306,78.408448,True,,4.84
Ameerpet,Prakash Nagar,5,17.435697,78.444603,17.445126,78.465903,True,,2.99
Ameerpet,Punjagutta,2,17.435697,78.444603,17.428583,78.45115,True,,1.05
Ameerpet,RTC Cross Roads,29,17.435697,78.444603,17.407119,78.496553,False,JBS Parade Ground,12.15
Ameerpet,Raidurg,21,17.435697,78.444603,17.442274,78.377094,True,,9.91
Ameerpet,Rasoolpura,7,17.435697,78.444603,17.443606,78.476363,True,,4.13
Ameerpet,Road No. 5 Jubilee Hills,7,17.435697,78.444603,17.430088,78.422995,True,,2.65
Ameerpet,S R Nagar,2,17.435697,78.444603,17.441659,78.441634,True,,0.74
Ameerpet,Secunderabad East,13,17.435697,78.444603,17.435789,78.505431,True,,8.25
Ameerpet,Secunderabad West,34,17.435697,78.444603,17.433718,78.499194,False,JBS Parade Ground,15.48
Ameerpet,Stadium,24,17.435697,78.444603,17.408538,78.553504,True,,14.98
Ameerpet,Sultan Bazaar,23,17.435697,78.444603,17.384134,78.483697,False,Mahatma Gandhi Bus Station,9.09
Ameerpet,Tarnaka,18,17.435697,78.444603,17.428297,78.52856,True,,11.05
Ameerpet,Uppal,25,17.435697,78.444603,17.400078,78.560251,True,,16.06
Ameerpet,Victoria Memorial,27,17.435697,78.444603,17.361889,78.543962,True,,15.19
Ameerpet,Yousufguda,5,17.435697,78.444603,17.435081,78.427292,True,,1.8
Assembly,Ameerpet,10,17.39813,78.470786,17.435697,78.444603,True,,5.31
